,Disease,Symptoms,Cleaned_Symptoms
10,Adenomyosis,"It’s possible to have adenomyosis and have no symptoms. Symptoms you might experience include:

heavy periods that last for a long time
severe period pain
a feeling of pressure in your tummy
bloating (your tummy sticks out more than normal)

",possible adenomyosis symptom symptom might experience include heavy period last long time severe period pain feeling pressure tummy bloating tummy stick normal
11,Alcohol-related liver disease,"In many cases, people with alcohol-related liver disease (ARLD) don’t have any noticeable symptoms until their liver is badly damaged.
",many case people alcoholrelated liver disease arld dont noticeable symptom liver badly damaged
12,Allergic rhinitis,"Allergic rhinitis usually causes cold-like symptoms, such as:

sneezing
itchiness
a blocked or runny nose

These symptoms usually start soon after coming into contact with something you’re allergic to.
Some people only get allergic rhinitis seasonally because they’re allergic to things like tree or grass pollen. Other people get allergic rhinitis all year round.
",allergic rhinitis usually cause coldlike symptom sneezing itchiness blocked runny nose symptom usually start soon coming contact something youre allergic people get allergic rhinitis seasonally theyre allergic thing like tree grass pollen people get allergic rhinitis year round
13,Allergies,"Allergic reactions usually happen quickly within a few minutes of exposure to an allergen.
They can cause:

sneezing
a runny or blocked nose
red, itchy, watery eyes
wheezing and coughing
a red, itchy rash
worsening of asthma or eczema symptoms

Most allergic reactions are mild, but occasionally a severe reaction called anaphylaxis or anaphylactic shock can occur. This is a medical emergency and needs urgent treatment.
Read more about the symptoms of allergies.
",allergic reaction usually happen quickly within minute exposure allergen cause sneezing runny blocked nose red itchy watery eye wheezing coughing red itchy rash worsening asthma eczema symptom allergic reaction mild occasionally severe reaction called anaphylaxis anaphylactic shock occur medical emergency need urgent treatment read symptom allergy
14,Alzheimer’s disease,"Alzheimer’s disease is a progressive condition. This means the symptoms develop gradually and become more severe over time.
The first sign of Alzheimer’s disease is usually minor memory problems. For example, a loss of interest and enjoyment in day-to-day activities. It’s also common to forget about recent conversations, events or the names of places.
As the condition develops, memory problems become more severe.
Other symptoms of Alzheimer’s disease
Other changes caused by Alzheimer’s disease that could cause you concern include:

confusion, disorientation and getting lost in familiar places
difficulty planning or making decisions
problems with speech and language
problems moving around without help
difficulty performing self-care tasks
stress and distress
hallucinations (seeing or hearing things that aren’t there)
delusions (believing things that are untrue)
low mood or anxiety

",alzheimers disease progressive condition mean symptom develop gradually become severe time first sign alzheimers disease usually minor memory problem example loss interest enjoyment daytoday activity also common forget recent conversation event name place condition develops memory problem become severe symptom alzheimers disease change caused alzheimers disease could cause concern include confusion disorientation getting lost familiar place difficulty planning making decision problem speech language problem moving around without help difficulty performing selfcare task stress distress hallucination seeing hearing thing arent delusion believing thing untrue low mood anxiety
15,Anal cancer,"The symptoms of anal cancer are often similar to more common and less serious conditions affecting the anus, such as piles (haemorrhoids) and anal fissures (small tears or sores).
Symptoms of anal cancer can include:

bleeding from the bottom (rectal bleeding)
itching and pain around the anus
small lumps around the anus
a discharge of mucus from the anus
loss of bowel control (bowel incontinence)

However, some people with anal cancer don’t have any symptoms. 
Speak to your GP if you develop any of the above symptoms. While they’re unlikely to be caused by anal cancer, it’s best to get them checked out.
",symptom anal cancer often similar common le serious condition affecting anus pile haemorrhoid anal fissure small tear sore symptom anal cancer include bleeding bottom rectal bleeding itching pain around anus small lump around anus discharge mucus anus loss bowel control bowel incontinence however people anal cancer dont symptom speak gp develop symptom theyre unlikely caused anal cancer best get checked
16,Angina,"The main symptom of angina is chest pain. This can:

feel like a dull pain, ache, ‘heavy’ or ‘tight’ feeling in your chest
spread to your arms, neck, jaw or back
be triggered by physical exertion

Angina itself is not life threatening, but prolonged chest pain can be a symptom of a heart attack.







                    Phone 999 immediately if:
                




You or someone else has symptoms like:

central chest pain or discomfort in the chest that doesn’t go away – it may feel like pressure, tightness or squeezing
pain that radiates down the left arm, or both arms, or to the neck, jaw, back or stomach
unconsciousness
seizures or fitting
difficulty breathing (snoring or rasping)
chest pain alongside breathlessness, nausea and sweating
 








                    Speak to your GP practice if you:
                





do not have a diagnosis of angina and experience chest pain on exercise that eases after a few minutes of resting
have an angina diagnosis and your symptoms are becoming more frequent or occur at rest

If your GP practice is closed, phone 111. 

",main symptom angina chest pain feel like dull pain ache heavy tight feeling chest spread arm neck jaw back triggered physical exertion angina life threatening prolonged chest pain symptom heart attack phone immediately someone else symptom like central chest pain discomfort chest doesnt go away may feel like pressure tightness squeezing pain radiates left arm arm neck jaw back stomach unconsciousness seizure fitting difficulty breathing snoring rasping chest pain alongside breathlessness nausea sweating speak gp practice diagnosis angina experience chest pain exercise eas minute resting angina diagnosis symptom becoming frequent occur rest gp practice closed phone
17,Angioedema,"The main sign of angioedema is swelling that develops below the skin’s surface.
",main sign angioedema swelling develops skin surface
18,Ankle sprain,"These vary from person to person and some symptoms may appear several days after the initial injury.
People may experience: 

swelling and bruising
pain
mild heat and redness.
loss of movement and strength around the ankle and foot
difficulty walking or going up or down stairs
tingling, numbness or pins and needles in the affected area


",vary person person symptom may appear several day initial injury people may experience swelling bruising pain mild heat redness loss movement strength around ankle foot difficulty walking going stair tingling numbness pin needle affected area
19,Ankylosing spondylitis,"The symptoms of ankylosing spondylitis can vary from person to person. They can develop slowly over several months or years.
The main symptoms include:

arthritis – causing pain, tenderness and swelling in the joints
enthesitis – painful inflammation where a bone is joined to a tendon or ligament, commonly in the heel, ribs or elbow
pain and swelling in other parts of the body – like the hips, knees and ribs
fatigue – severe tiredness that doesn’t improve with sleep or rest
pain in your lower back in the early morning
morning stiffness that lasts at least 30 minutes and then eases through the day or with activity
pain that doesn’t improve or gets worse with rest
waking up regularly during the night because of the pain
pain in the area around your buttocks








                    Contact your GP if:
                





you have lower back pain for more than 3 months
you have morning stiffness greater than 30 mins and are age 40 or below
you have back pain that gets better with exercise and worse at rest
 

",symptom ankylosing spondylitis vary person person develop slowly several month year main symptom include arthritis causing pain tenderness swelling joint enthesitis painful inflammation bone joined tendon ligament commonly heel rib elbow pain swelling part body like hip knee rib fatigue severe tiredness doesnt improve sleep rest pain lower back early morning morning stiffness last least minute eas day activity pain doesnt improve get worse rest waking regularly night pain pain area around buttock contact gp lower back pain month morning stiffness greater min age back pain get better exercise worse rest
20,Anorexia nervosa,"Signs and symptoms of anorexia include:

fear of ‘being fat’ or gaining weight
problems with self-esteem and body image when it comes to food and weight
restricting food intake
keeping your body weight low, to the point it’s unhealthy

Restricting your food intake means your body isn’t getting enough energy or nutrition. This can lead to other physical symptoms.
Other signs of anorexia
Eating too little for a long time can cause physical symptoms, like:

fine downy hair (lanugo) growing on the body
more hair on the face
pubic hair becoming sparse and thin
slow or irregular heartbeat

People with anorexia may also:

have pain in their abdomen (tummy)
feel bloated or constipated
have swelling in their feet, hands or face
feel very tired
have low blood pressure (hypotension)
feel cold or have a low body temperature
feel light-headed or dizzy

In children with anorexia, puberty and the associated growth spurt may be delayed. They may gain less weight than expected for someone going through puberty. They might be shorter than other people of the same age.
If you get periods and you have anorexia, your periods may stop. Anorexia can also lead to infertility, for both men and women.
",sign symptom anorexia include fear fat gaining weight problem selfesteem body image come food weight restricting food intake keeping body weight low point unhealthy restricting food intake mean body isnt getting enough energy nutrition lead physical symptom sign anorexia eating little long time cause physical symptom like fine downy hair lanugo growing body hair face pubic hair becoming sparse thin slow irregular heartbeat people anorexia may also pain abdomen tummy feel bloated constipated swelling foot hand face feel tired low blood pressure hypotension feel cold low body temperature feel lightheaded dizzy child anorexia puberty associated growth spurt may delayed may gain le weight expected someone going puberty might shorter people age get period anorexia period may stop anorexia also lead infertility men woman
21,Anxiety,"GAD can cause a change in your behaviour and the way you think and feel about things. It can also cause physical changes. This results in symptoms like:

restlessness
a sense of dread
feeling constantly “on edge”
difficulty concentrating
irritability
dizziness
tiredness
a noticeably strong, fast or irregular heartbeat (palpitations)
muscle aches and tension
trembling or shaking
dry mouth
excessive sweating
shortness of breath
stomach ache
feeling sick
headache
pins and needles
difficulty falling or staying asleep (insomnia)

Your symptoms may cause you to withdraw from social contact to avoid feelings of worry and dread.
You may also find going to work difficult and stressful and may take time off sick. These actions can make you worry even more about yourself and increase your lack of self-esteem.
",gad cause change behaviour way think feel thing also cause physical change result symptom like restlessness sense dread feeling constantly edge difficulty concentrating irritability dizziness tiredness noticeably strong fast irregular heartbeat palpitation muscle ache tension trembling shaking dry mouth excessive sweating shortness breath stomach ache feeling sick headache pin needle difficulty falling staying asleep insomnia symptom may cause withdraw social contact avoid feeling worry dread may also find going work difficult stressful may take time sick action make worry even increase lack selfesteem
22,Appendicitis,"Appendicitis typically starts with a pain in the middle of your tummy (abdomen) that may come and go.
Within hours, the pain travels to your lower right-hand side, where the appendix is usually located, and becomes constant and severe.
Pressing on this area, coughing, or walking may all make the pain worse.
If you have appendicitis, you may also have other symptoms, including:

feeling sick (nausea)
being sick
loss of appetite
diarrhoea
a high temperature (fever) and a flushed face

",appendicitis typically start pain middle tummy abdomen may come go within hour pain travel lower righthand side appendix usually located becomes constant severe pressing area coughing walking may make pain worse appendicitis may also symptom including feeling sick nausea sick loss appetite diarrhoea high temperature fever flushed face
23,Arterial thrombosis,"Depending on where the clot is in your body, a bloodclot in an artery (arterial thrombosis) can cause:

angina
heart attack
stroke
peripheral vascular disease

Find out about each of these below.
",depending clot body bloodclot artery arterial thrombosis cause angina heart attack stroke peripheral vascular disease find
24,Arthritis,"Your symptoms will vary depending on the type of arthritis you have.







                    Speak to your GP practice if you have:
                





joint pain
tenderness in the joints
stiffness in the joints
inflammation in and around the joints
restricted movement in the joints
warm, red skin on your joints
weakness and muscle wasting
 

",symptom vary depending type arthritis speak gp practice joint pain tenderness joint stiffness joint inflammation around joint restricted movement joint warm red skin joint weakness muscle wasting
25,Asthma,"Symptoms include:

coughing
wheezing
chest tightness
breathlessness

Symptoms can vary from person to person. They’re often worse at night and early in the morning, or with certain triggers.
Asthma is well controlled in most people most of the time. It shouldn’t restrict your daily life (including your sleep) in any way. You should work with your healthcare professionals to help control your asthma.
",symptom include coughing wheezing chest tightness breathlessness symptom vary person person theyre often worse night early morning certain trigger asthma well controlled people time shouldnt restrict daily life including sleep way work healthcare professional help control asthma
26,Ataxia,"People with ataxia often find they’re falling over more or can’t walk in a straight line.
Other symptoms can include:

becoming more clumsy
slurred speech
problems with swallowing which can cause choking or coughing
tremors or shaking
fatigue or tiredness
problems with sight like blurred or jumpy vision caused by difficulty controlling eye movements

Some people experience mild symptoms like slight balance problems. Other people have more severe symptoms and need help to carry out everyday tasks.
",people ataxia often find theyre falling cant walk straight line symptom include becoming clumsy slurred speech problem swallowing cause choking coughing tremor shaking fatigue tiredness problem sight like blurred jumpy vision caused difficulty controlling eye movement people experience mild symptom like slight balance problem people severe symptom need help carry everyday task
27,Atopic eczema,"Atopic eczema causes areas of skin to become itchy, dry, cracked, sore and red.
There will usually be periods where the symptoms improve, followed by periods where they get worse (flare-ups). Flare-ups may occur as often as 2 or 3 times a month.
Atopic eczema can occur all over the body, but is most common on the hands (especially fingers), the insides of the elbows or backs of the knees, and the face and scalp in children. The face is more commonly involved in adults.
The severity of atopic eczema can vary a lot from person to person. People with mild eczema may only have small areas of dry skin that are occasionally itchy. In more severe cases, atopic eczema can cause widespread red, inflamed skin all over the body and constant itching.
Scratching can disrupt your sleep, make your skin bleed, and cause secondary infections. It can also make itching worse, and a cycle of itching and regular scratching may develop. This can lead to sleepless nights and difficulty concentrating at school or work.
Areas of skin affected by eczema may also turn temporarily darker or lighter after the condition has improved. This is more noticeable in people with darker skin. It’s not a result of scarring or a side effect of steroid creams, but more of a “footprint” of old inflammation and will eventually return to its normal colour.
Atopic eczema often occurs on the insides of the elbows.Source: https://dermnetnz.org/
Atopic eczema can occur on the face.Source: https://dermnetnz.org/
",atopic eczema cause area skin become itchy dry cracked sore red usually period symptom improve followed period get worse flareups flareups may occur often time month atopic eczema occur body common hand especially finger inside elbow back knee face scalp child face commonly involved adult severity atopic eczema vary lot person person people mild eczema may small area dry skin occasionally itchy severe case atopic eczema cause widespread red inflamed skin body constant itching scratching disrupt sleep make skin bleed cause secondary infection also make itching worse cycle itching regular scratching may develop lead sleepless night difficulty concentrating school work area skin affected eczema may also turn temporarily darker lighter condition improved noticeable people darker skin result scarring side effect steroid cream footprint old inflammation eventually return normal colour atopic eczema often occurs inside elbowssource httpsdermnetnzorg atopic eczema occur facesource httpsdermnetnzorg
28,Atrial fibrillation,"Some people with atrial fibrillation have no symptoms. Many will not even be aware that they have an irregular heartbeat. Sometimes it’s only discovered during routine tests or investigations for another condition.
The most obvious symptom of atrial fibrillation is palpitations. Palpitation is an awareness of your heartbeat. For example, your heart might feel like it’s pounding, fluttering or beating irregularly. You may feel these sensations in your chest, throat or neck.
You may feel that your heart is beating fast, even when you’re not exercising.
You may also experience:

tiredness
breathlessness
dizziness
feeling faint
chest discomfort or pain








                    Phone 999 or go to A&E if:
                




You or someone else has heart palpitations and:

dizziness
sudden shortness of breath
chest pain
loses consciousness
 

",people atrial fibrillation symptom many even aware irregular heartbeat sometimes discovered routine test investigation another condition obvious symptom atrial fibrillation palpitation palpitation awareness heartbeat example heart might feel like pounding fluttering beating irregularly may feel sensation chest throat neck may feel heart beating fast even youre exercising may also experience tiredness breathlessness dizziness feeling faint chest discomfort pain phone go ae someone else heart palpitation dizziness sudden shortness breath chest pain loses consciousness
29,Attention deficit hyperactivity disorder (ADHD),"Symptoms of ADHD tend to be noticed at an early age. They may become more noticeable when a child’s circumstances change, like when they start school.
The main symptoms of ADHD in children and teenagers are:




Inattentiveness

The main signs of inattentiveness are:

having a short attention span
being easily distracted
making careless mistakes
appearing forgetful
losing things
being unable to stick at tedious or time-consuming tasks
appearing to be unable to listen to or carry out instructions
constantly changing activity or task
having difficulty organising tasks










Hyperactivity and impulsiveness

The main signs of hyperactivity and impulsiveness are:

being unable to sit still, especially in quiet surroundings
constantly fidgeting
being unable to concentrate on tasks
excessive physical movement
excessive talking
being unable to wait their turn
acting without thinking
interrupting conversations
little or no sense of danger






",symptom adhd tend noticed early age may become noticeable child circumstance change like start school main symptom adhd child teenager inattentiveness main sign inattentiveness short attention span easily distracted making careless mistake appearing forgetful losing thing unable stick tedious timeconsuming task appearing unable listen carry instruction constantly changing activity task difficulty organising task hyperactivity impulsiveness main sign hyperactivity impulsiveness unable sit still especially quiet surroundings constantly fidgeting unable concentrate task excessive physical movement excessive talking unable wait turn acting without thinking interrupting conversation little sense danger
30,Bacterial vaginosis,"Often there are no symptoms of bacterial vaginosis. Some women may notice a change in the normal discharge from the vagina.
This discharge will usually be white or grey, thin or watery and have a strong, unpleasant fishy smell. This can be more noticeable during and after sex, and during periods.
Bacterial vaginosis does not usually cause itching or irritation.
",often symptom bacterial vaginosis woman may notice change normal discharge vagina discharge usually white grey thin watery strong unpleasant fishy smell noticeable sex period bacterial vaginosis usually cause itching irritation
31,Benign prostate enlargement,"The symptoms of benign prostate enlargement are caused by the enlarged prostate placing pressure on the bladder and urethra (which carries urine from the bladder to the penis).
This can affect urination in a number of ways. For example, it can:

make it difficult for you to start urinating
weaken the flow of urine or cause ‘stopping and starting’
cause you to strain to pass urine
cause you to need to urinate frequently
cause you to wake up frequently during the night to urinate
cause a sudden urge to urinate, which can result in urinary incontinence if you can’t find a toilet quickly enough
cause you to not be able to empty your bladder fully
cause blood in the urine (haematuria)

In the later stages, benign prostate enlargement can cause urine retention and other complications such as bladder stones, bladder infections and kidney damage.
",symptom benign prostate enlargement caused enlarged prostate placing pressure bladder urethra carry urine bladder penis affect urination number way example make difficult start urinating weaken flow urine cause stopping starting cause strain pas urine cause need urinate frequently cause wake frequently night urinate cause sudden urge urinate result urinary incontinence cant find toilet quickly enough cause able empty bladder fully cause blood urine haematuria later stage benign prostate enlargement cause urine retention complication bladder stone bladder infection kidney damage
32,Bile duct cancer (cholangiocarcinoma),"In most cases, there are no signs of bile duct cancer until it reaches the later stages, when symptoms can include:

jaundice – yellowing of the skin and the whites of the eyes, itchy skin, pale stools and dark-coloured urine 
unintentional weight loss
abdominal pain

Speak to your GP if you have signs of jaundice or are worried about other symptoms. While it is unlikely you have bile duct cancer, it is best to get it checked.
Read more about the symptoms of bile duct cancer
",case sign bile duct cancer reach later stage symptom include jaundice yellowing skin white eye itchy skin pale stool darkcoloured urine unintentional weight loss abdominal pain speak gp sign jaundice worried symptom unlikely bile duct cancer best get checked read symptom bile duct cancer
33,Binge eating,"The main sign of binge eating disorder is someone bingeing on a regular basis.
Signs that an episode of overeating is actually a binge, include:

eating much faster than normal
eating until you feel uncomfortably full
eating a large amount of food when you’re not hungry
eating alone or secretly due to being embarrassed about the amount of food you’re consuming
having feelings of guilt, shame or disgust afterwards

If you feel like you have to purge what you’ve eaten after a binge to avoid gaining weight, you may have symptoms of bulimia.
If binges don’t happen regularly, and your weight is very low, you may have symptoms of anorexia.
",main sign binge eating disorder someone bingeing regular basis sign episode overeating actually binge include eating much faster normal eating feel uncomfortably full eating large amount food youre hungry eating alone secretly due embarrassed amount food youre consuming feeling guilt shame disgust afterwards feel like purge youve eaten binge avoid gaining weight may symptom bulimia binge dont happen regularly weight low may symptom anorexia
34,Bipolar disorder,"Bipolar disorder is characterised by extreme mood swings. These can range from extreme highs (mania) to extreme lows (depression).
Episodes of mania and depression often last for several weeks or months.
",bipolar disorder characterised extreme mood swing range extreme high mania extreme low depression episode mania depression often last several week month
35,Bladder cancer,"Blood in your urine is the most common symptom of bladder cancer.
The medical name for this is haematuria and it’s usually painless. You may notice streaks of blood in your urine or the blood may turn your urine brown. The blood isn’t always noticeable and it may come and go.
Less common symptoms of bladder cancer include:

a need to urinate on a more frequent basis
sudden urges to urinate
a burning sensation when passing urine

If bladder cancer reaches an advanced stage and begins to spread, symptoms can include:

pelvic pain 
bone pain
unintentional weight loss 
swelling of the legs

",blood urine common symptom bladder cancer medical name haematuria usually painless may notice streak blood urine blood may turn urine brown blood isnt always noticeable may come go le common symptom bladder cancer include need urinate frequent basis sudden urge urinate burning sensation passing urine bladder cancer reach advanced stage begin spread symptom include pelvic pain bone pain unintentional weight loss swelling leg
36,Blood poisoning (sepsis),"Sepsis can cause a variety of symptoms.
",sepsis cause variety symptom
37,Bone cancer,"Bone cancer can affect any bone, but most cases develop in the long bones of the legs or upper arms.
The main symptoms include:

persistent bone pain that gets worse over time and continues into the night
swelling and redness (inflammation) over a bone, which can make movement difficult if the affected bone is near a joint
a noticeable lump over a bone
a weak bone that breaks (fractures) more easily than normal

If you or your child are experiencing persistent, severe or worsening bone pain, visit your GP. While it’s highly unlikely to be the result of bone cancer, it does require further investigation.
Read more about the symptoms of bone cancer
",bone cancer affect bone case develop long bone leg upper arm main symptom include persistent bone pain get worse time continues night swelling redness inflammation bone make movement difficult affected bone near joint noticeable lump bone weak bone break fracture easily normal child experiencing persistent severe worsening bone pain visit gp highly unlikely result bone cancer require investigation read symptom bone cancer
